model,train dataset,test dataset,features,accuracy,precision,recall,FPR,F1 score,notes
pn_dd_DQN_3.pkl,cicids2017,cicids2017,67,0.9744320209349352,0.9736588557154752,0.9751667857993805,0.026300475059382423,0.9744122373668235,
pn_dd_DQN_4.pkl,cicids2017,cicddos2019,67,0.666239455655497,0.9718506781003868,0.6031759805623047,0.07240469911292256,0.7443645255135732,
pn_dd_DQN_4.pkl,cicids2017,cicdos2017,67,0.564755529685681,0.8876600698486612,0.5393457117595049,0.3171733771569433,0.6709932900670993,
pn_dd_DQN_4.pkl,cicids2017,cicids2017,67,0.9753122398001666,0.9734804329725228,0.9770600033428046,0.026422764227642278,0.9752669336002668,
per_dd_DQN_1.pkl,cicids2017,cicddos2019,67,0.651349210048003,0.9586615090646409,0.5937364699090778,0.10726810980771556,0.733307190474493,
per_dd_DQN_1.pkl,cicids2017,cicdos2017,67,0.5779249126891735,0.935244470314319,0.5454468301790716,0.22692503824579296,0.6890377914768159,
per_dd_DQN_1.pkl,cicids2017,cicids2017,67,0.9807035803497086,0.9878672534792435,0.9739136553131358,0.012309103305959657,0.9808408303783117,
per_dd_DQN_2.pkl,cicids2017,cicddos2019,67,0.6577806776343385,0.976231532833108,0.596389830025909,0.06546014632268002,0.7404383174266526,
per_dd_DQN_2.pkl,cicids2017,cicdos2017,67,0.5508585564610011,0.8933352735739232,0.5301839537093013,0.33856812933025404,0.6654381876321066,
per_dd_DQN_2.pkl,cicids2017,cicids2017,67,0.9809979778755799,0.9871832996312596,0.9751204323816238,0.012977237143201252,0.9811147889821491,
per_dd_DQN_3.pkl,cicids2017,cicddos2019,67,0.6674278790138416,0.9737148716036724,0.6038264790034971,0.06784554312522555,0.7454065432230903,
per_dd_DQN_3.pkl,cicids2017,cicdos2017,67,0.5760331781140862,0.9075960419091967,0.5457170356111646,0.27429805615550756,0.6816020982459975,
per_dd_DQN_3.pkl,cicids2017,cicids2017,67,0.979927441417866,0.9847210657785179,0.9753699514585984,0.015426835126825519,0.9800232026801462,
per_dd_DQN_4.pkl,cicids2017,cicddos2019,67,0.6511394882788833,0.9711982103742368,0.5921516253694021,0.08003108003108003,0.735723490264612,
per_dd_DQN_4.pkl,cicids2017,cicdos2017,67,0.6326396973224679,0.8460419091967404,0.5929627740948495,0.2685960903782686,0.6972477064220184,
per_dd_DQN_4.pkl,cicids2017,cicids2017,67,0.9756155584631855,0.9777982633519686,0.9735483259708422,0.02229908127546205,0.9756686665835841,
dueling_DQN_1.pkl,cicids2017,cicddos2019,67,0.6344549564244769,0.9779093069860652,0.5797049397723505,0.070556713307532,0.7279066137061384,
dueling_DQN_1.pkl,cicids2017,cicdos2017,67,0.559371362048894,0.8789289871944121,0.5362215909090909,0.33548387096774196,0.6660785178650199,
dueling_DQN_1.pkl,cicids2017,cicids2017,67,0.9783900321160938,0.9850065421672416,0.9721421653508643,0.015194527318205106,0.9785320748585692,
dueling_DQN_2.pkl,cicids2017,cicddos2019,67,0.6460129561448479,0.9766975812089295,0.587887118491921,0.06881365262868153,0.7339812625864635,
dueling_DQN_2.pkl,cicids2017,cicdos2017,67,0.5765424912689173,0.9061408614668219,0.5461322574986844,0.27540563620836894,0.6815147203677356,
dueling_DQN_2.pkl,cicids2017,cicids2017,67,0.9774889972641846,0.9814024027596051,0.9737808044566141,0.018744305375725315,0.9775767485396746,
dueling_DQN_3.pkl,cicids2017,cicddos2019,67,0.6716922216526076,0.9770238150720044,0.6065972222222222,0.059013646157529326,0.7484870664262634,
dueling_DQN_3.pkl,cicids2017,cicdos2017,67,0.5804714784633295,0.9385913853317811,0.546888248261828,0.2164102564102564,0.6910961105753777,
dueling_DQN_3.pkl,cicids2017,cicids2017,67,0.9785327703104556,0.9812299274414179,0.9759652640981502,0.018871873374274217,0.9785905150554439,
dueling_DQN_4.pkl,cicids2017,cicddos2019,67,0.6850212052010999,0.9776762827981544,0.6167097836312324,0.05383232187008317,0.7563319092170966,
dueling_DQN_4.pkl,cicids2017,cicdos2017,67,0.5759604190919674,0.9145809080325961,0.545288912024987,0.26465284039675385,0.683226437656267,
dueling_DQN_4.pkl,cicids2017,cicids2017,67,0.9772213631497562,0.980076127036993,0.9745121230041396,0.02003828209115923,0.9772862056695528,
double_DQN_1.pkl,cicids2017,cicddos2019,67,0.6865591648413105,0.9750664118935546,0.6182989538388793,0.05894667254297047,0.7567411158332579,
double_DQN_1.pkl,cicids2017,cicdos2017,67,0.6856082654249127,0.8971187427240978,0.6304325595664179,0.17831021437578815,0.7404960663023241,
double_DQN_1.pkl,cicids2017,cicids2017,67,0.975115974782919,0.9766860949208993,0.9736286669670595,0.02338734696799752,0.9751549844421749,
double_DQN_2.pkl,cicids2017,cicddos2019,67,0.680104394836184,0.9719904926131332,0.6137186240178913,0.06729369611465681,0.7523809523809524,
double_DQN_2.pkl,cicids2017,cicdos2017,67,0.5727590221187427,0.8971187427240978,0.5441306266548985,0.29287489643744824,0.6773980881221844,
double_DQN_2.pkl,cicids2017,cicids2017,67,0.9741168074223862,0.9719281551088379,0.976201285512891,0.02794950140931808,0.9740600338554706,
double_DQN_3.pkl,cicids2017,cicddos2019,67,0.6665190846809899,0.9750198070559725,0.6029801706248559,0.06522268191774154,0.745142735027514,
double_DQN_3.pkl,cicids2017,cicdos2017,67,0.5699941792782305,0.8975552968568102,0.5422894320379814,0.2970464135021097,0.6760933903321277,
double_DQN_3.pkl,cicids2017,cicids2017,67,0.9737867253479243,0.9734209587248721,0.9741335698173399,0.026559612035919958,0.9737771338987437,
double_DQN_4.pkl,cicids2017,cicddos2019,67,0.6480868714172531,0.9769306053968402,0.5893334083049847,0.0673927842069435,0.7351734296636622,
double_DQN_4.pkl,cicids2017,cicdos2017,67,0.5587165308498254,0.9330616996507567,0.5335774319713739,0.26635784597568035,0.6789136534490973,
double_DQN_4.pkl,cicids2017,cicids2017,67,0.9742030450814797,0.9772035208754609,0.9713743504247734,0.022934105581848968,0.9742802166687913,
dd_DQN_1.pkl,cicids2017,cicddos2019,67,0.6551008994733654,0.975858694132451,0.5944864005451138,0.06734269370774831,0.7388627181142927,
dd_DQN_1.pkl,cicids2017,cicdos2017,67,0.6800058207217695,0.9080325960419092,0.6236258245052968,0.16907437132156233,0.7394241023817987,
dd_DQN_1.pkl,cicids2017,cicids2017,67,0.977209468300226,0.9805638158677292,0.9740293499066569,0.01956745623069001,0.9772856600910469,
dd_DQN_2.pkl,cicids2017,cicddos2019,67,0.624924267138929,0.977210234422333,0.5732877648667123,0.07714150496923805,0.7226357871519161,
dd_DQN_2.pkl,cicids2017,cicdos2017,67,0.5993888242142026,0.9356810244470314,0.5594223072907604,0.19644444444444445,0.7002069040618534,
dd_DQN_2.pkl,cicids2017,cicids2017,67,0.9754163197335554,0.9725110027358154,0.9781949354821342,0.02733019152421105,0.9753446882372063,
dd_DQN_3.pkl,cicids2017,cicddos2019,67,0.6695950039614111,0.9758120892948688,0.6051794901439389,0.06240981240981241,0.747052002497547,
dd_DQN_3.pkl,cicids2017,cicdos2017,67,0.5582072176949942,0.9131257275902211,0.5340425531914894,0.2993981945837513,0.673934056492321,
dd_DQN_3.pkl,cicids2017,cicids2017,67,0.979148328773641,0.9850719638396574,0.9735381938729928,0.015107013024532344,0.979271119099423,
dd_DQN_4.pkl,cicids2017,cicddos2019,67,0.6708999394137112,0.9795404763014401,0.6056711428736096,0.05345835362883585,0.7485176018091491,
dd_DQN_4.pkl,cicids2017,cicdos2017,67,0.559371362048894,0.9209837019790454,0.5344536395879075,0.2854889589905363,0.6763920059848243,
dd_DQN_4.pkl,cicids2017,cicids2017,67,0.9760378256215059,0.9759069822766742,0.9761624309918142,0.02408671455073015,0.9760346899201751,
default_A2C_1.pkl,cicids2017,cicddos2019,67,0.6085892715663886,0.9137344456354569,0.567434591340588,0.22135852666826117,0.700101769358496,
default_A2C_1.pkl,cicids2017,cicdos2017,67,0.6318393480791619,0.9308789289871944,0.582498634128574,0.1719768283852281,0.7165901198610956,
default_A2C_1.pkl,cicids2017,cicids2017,67,0.9081301296538599,0.9232009040085642,0.8961883977645374,0.07918588108320251,0.9094941232993894,
default_A2C_2.pkl,cicids2017,cicddos2019,67,0.6538192664398564,0.8992403411474111,0.60317609178155,0.19789473684210526,0.7220371964225574,
default_A2C_2.pkl,cicids2017,cicdos2017,67,0.7034342258440046,0.8786379511059371,0.6506465517241379,0.1868279569892473,0.7476473501733532,
default_A2C_2.pkl,cicids2017,cicids2017,67,0.9103485190912335,0.9049779945283692,0.9148039486815684,0.09401221564496957,0.9098644438730665,
default_A2C_3.pkl,cicids2017,cicddos2019,67,0.6360861257398518,0.9395069208183809,0.5846916874528685,0.15386439070649596,0.720800929650487,
default_A2C_3.pkl,cicids2017,cicdos2017,67,0.5723224679860303,0.8949359720605355,0.5439589598443304,0.29614438063986875,0.6766420948399163,
default_A2C_3.pkl,cicids2017,cicids2017,67,0.91744379683597,0.934185797549661,0.903918973355585,0.06809427112177713,0.9188031938229358,
default_A2C_4.pkl,cicids2017,cicddos2019,67,0.6359696136458964,0.957030339749266,0.5828011919965943,0.12006771715067066,0.7244408382135047,
default_A2C_4.pkl,cicids2017,cicdos2017,67,0.6638533178114087,0.9045401629802096,0.6106090373280944,0.1840628507295174,0.7290640394088671,
default_A2C_4.pkl,cicids2017,cicids2017,67,0.9114874509337457,0.9460211728321637,0.884903172686965,0.05798360666210941,0.9144420842040513,
